,0
2006-03-28,112633.16500000001
2006-03-29,113023.89499999999
2006-03-30,112438.22
2006-03-31,110889.09
2006-04-01,100569.47499999999
2006-04-02,95454.06
2006-04-03,110607.45
2006-04-04,111240.73999999999
2006-04-05,111722.645
2006-04-06,112576.425
2006-04-07,112118.26000000001
2006-04-08,102134.855
2006-04-09,95313.24
2006-04-10,111547.435
2006-04-11,110279.31
2006-04-12,111701.055
2006-04-13,111138.18
2006-04-14,94874.23000000001
2006-04-15,96953.08499999999
2006-04-16,93128.31
2006-04-17,109085.17
2006-04-18,110476.64000000001
2006-04-19,110076.62
2006-04-20,110649.18
2006-04-21,110885.745
2006-04-22,101764.525
2006-04-23,96659.33499999999
2006-04-24,111880.72499999999
2006-04-25,111510.13500000001
2006-04-26,111849.815
2006-04-27,110921.415
2006-04-28,112239.06499999999
2006-04-29,104755.51500000001
2006-04-30,97788.28
2006-05-01,96882.69
2006-05-02,111120.25
2006-05-03,112782.65
2006-05-04,114968.865
2006-05-05,112139.365
2006-05-06,99283.255
2006-05-07,97197.445
2006-05-08,114292.17
2006-05-09,116651.73999999999
2006-05-10,115635.18500000001
2006-05-11,115105.68000000001
2006-05-12,100678.84
2006-05-13,100649.375
2006-05-14,97011.125
2006-05-15,113284.565
2006-05-16,115989.31999999999
2006-05-17,117054.38
2006-05-18,116927.47
2006-05-19,116824.595
2006-05-20,107032.60500000001
2006-05-21,99171.2
2006-05-22,112143.30500000001
2006-05-23,112158.975
2006-05-24,114426.35500000001
2006-05-25,114710.945
2006-05-26,113585.9
2006-05-27,103432.915
2006-05-28,96046.455
2006-05-29,111289.365
2006-05-30,115469.995
2006-05-31,116407.745
2006-06-01,115996.865
2006-06-02,114701.255
2006-06-03,105910.515
2006-06-04,101043.5
2006-06-05,114498.43000000001
2006-06-06,112315.41
2006-06-07,112209.075
2006-06-08,111379.65
2006-06-09,109119.22499999999
2006-06-10,100856.03
2006-06-11,93673.87
2006-06-12,108702.245
2006-06-13,111611.125
2006-06-14,110817.685
2006-06-15,112219.76000000001
2006-06-16,111820.35999999999
2006-06-17,102494.81
2006-06-18,97565.255
2006-06-19,110894.86499999999
2006-06-20,109778.57499999998
2006-06-21,110942.64000000001
2006-06-22,112379.81
2006-06-23,111804.435
2006-06-24,102297.92000000001
2006-06-25,95415.515
2006-06-26,111587.16500000001
2006-06-27,114357.65
2006-06-28,115200.005
2006-06-29,114826.88
2006-06-30,114677.6
2006-07-01,105596.765
2006-07-02,99840.54500000001
2006-07-03,113942.03
2006-07-04,116310.61
2006-07-05,117450.425
2006-07-06,114363.95999999999
2006-07-07,115237.20500000002
2006-07-08,107762.75
2006-07-09,100268.66
2006-07-10,111185.54000000001
2006-07-11,113248.38
2006-07-12,112118.26999999999
2006-07-13,113699.13
2006-07-14,113607.935
2006-07-15,105487.585
2006-07-16,99392.70999999999
2006-07-17,114458.345
2006-07-18,115078.70499999999
2006-07-19,113633.16500000001
2006-07-20,112947.375
2006-07-21,115692.82
2006-07-22,106854.425
2006-07-23,100741.085
2006-07-24,115481.595
2006-07-25,115528.07
2006-07-26,115706.76000000001
2006-07-27,115683.5
2006-07-28,112283.055
2006-07-29,101889.60999999999
2006-07-30,95619.38500000001
2006-07-31,108343.32500000001
2006-08-01,112177.035
2006-08-02,112425.075
2006-08-03,113418.24
2006-08-04,112649.06999999999
2006-08-05,103892.16500000001
2006-08-06,98006.935
2006-08-07,112284.285
2006-08-08,110895.035
2006-08-09,97223.70499999999
2006-08-10,109273.66500000001
2006-08-11,111185.54500000001
2006-08-12,102987.29000000001
2006-08-13,97932.875
2006-08-14,113296.70999999999
2006-08-15,112666.535
2006-08-16,113540.06
2006-08-17,114398.61000000002
2006-08-18,115613.565
2006-08-19,106559.83
2006-08-20,100217.67499999999
2006-08-21,114841.75
2006-08-22,116065.505
2006-08-23,116099.85
2006-08-24,114976.09
2006-08-25,116022.615
2006-08-26,106553.20000000001
2006-08-27,98237.88500000001
2006-08-28,112894.515
2006-08-29,114257.65
2006-08-30,113322.295
2006-08-31,109020.98
2006-09-01,108289.29500000001
2006-09-02,102118.48
2006-09-03,96747.92500000002
2006-09-04,112713.59999999999
2006-09-05,112586.765
2006-09-06,112858.3
2006-09-07,113512.82499999998
2006-09-08,113733.76000000001
2006-09-09,104298.57
2006-09-10,97127.86499999999
2006-09-11,112538.695
2006-09-12,114194.57
2006-09-13,115142.815
2006-09-14,113699.17
2006-09-15,109896.465
2006-09-16,100815.785
2006-09-17,94418.60999999999
2006-09-18,107542.035
2006-09-19,110935.855
2006-09-20,113423.3
2006-09-21,114303.85500000001
2006-09-22,114964.155
2006-09-23,104713.90000000001
2006-09-24,98803.36499999999
2006-09-25,112356.285
2006-09-26,114277.695
2006-09-27,114791.975
2006-09-28,115312.235
2006-09-29,114574.265
2006-09-30,103821.75
